15 - 20 Lakh,Hyundai Creta,Rs.10.73 - 20.20 Lakh*,21.8 kmpl,1497 cc,5 seater,,,,,,,
15 - 20 Lakh,Mahindra Scorpio,Rs.12.98 - 16.70 Lakh*,14.44 kmpl,2184 cc,7 seater,,,,,,,
15 - 20 Lakh,Mahindra Thar,Rs.9.99 - 16.99 Lakh*,9 kmpl,2184 cc,4 seater,,,,,,,
15 - 20 Lakh,Toyota Innova Crysta,Rs.18.66 - 25.27 Lakh*,9 kmpl,2393 cc,7 seater,,,,,,,
15 - 20 Lakh,Maruti Grand Vitara,Rs.10.77 - 19.72 Lakh*,27.97 kmpl,1490 cc,5 seater,,,,,,,
15 - 20 Lakh,Mahindra BE 6,Rs.18.90 - 27.79 Lakh*,5 seater,79 kWh,683 km,,,,,,,
15 - 20 Lakh,Maruti Victoris,Rs.10.50 - 19.99 Lakh*,28.65 kmpl,1490 cc,5 seater,,,,,,,
15 - 20 Lakh,Mahindra Thar ROXX,Rs.12.25 - 22.06 Lakh*,15.2 kmpl,2184 cc,5 seater,,,,,,,
15 - 20 Lakh,Kia Seltos,Rs.10.79 - 19.81 Lakh*,20.7 kmpl,1497 cc,5 seater,,,,,,,
15 - 20 Lakh,Tata Harrier,Rs.14 - 25.25 Lakh*,16.8 kmpl,1956 cc,5 seater,,,,,,,
15 - 20 Lakh,Toyota Urban Cruiser Hyryder,Rs.10.95 - 19.76 Lakh*,27.97 kmpl,1490 cc,5 seater,,,,,,,
15 - 20 Lakh,Tata Safari,Rs.14.66 - 25.96 Lakh*,16.3 kmpl,1956 cc,7 seater,,,,,,,
15 - 20 Lakh,Hyundai Verna,Rs.10.69 - 16.98 Lakh*,20.6 kmpl,1497 cc,5 seater,,,,,,,
15 - 20 Lakh,Volkswagen Virtus,Rs.11.16 - 18.73 Lakh*,20.8 kmpl,1498 cc,5 seater,,,,,,,
15 - 20 Lakh,Tata Curvv,Rs.9.66 - 18.85 Lakh*,12 kmpl,1497 cc,5 seater,,,,,,,
15 - 20 Lakh,Skoda Slavia,Rs.10 - 17.70 Lakh*,20.32 kmpl,1498 cc,5 seater,,,,,,,
15 - 20 Lakh,Toyota Innova Hycross,Rs.18.16 - 30.83 Lakh*,23.24 kmpl,1987 cc,7 seater,,,,,,,
15 - 20 Lakh,MG Windsor EV,Rs.12.65 - 18.39 Lakh*,5 seater,52.9 kWh,449 km,,,,,,,
15 - 20 Lakh,Honda City,Rs.11.95 - 16.07 Lakh*,18.4 kmpl,1498 cc,5 seater,,,,,,,
20 - 35 Lakh,Mahindra XUV700,Rs.13.66 - 23.71 Lakh*,17 kmpl,2198 cc,6 seater,,,,,,,
20 - 35 Lakh,Mahindra Scorpio N,Rs.13.20 - 24.17 Lakh*,15.94 kmpl,2198 cc,7 seater,,,,,,,
20 - 35 Lakh,Hyundai Creta,Rs.10.73 - 20.20 Lakh*,21.8 kmpl,1497 cc,5 seater,,,,,,,
20 - 35 Lakh,Toyota Fortuner,Rs.33.65 - 48.85 Lakh*,11 kmpl,2755 cc,7 seater,,,,,,,
20 - 35 Lakh,Toyota Innova Crysta,Rs.18.66 - 25.27 Lakh*,9 kmpl,2393 cc,7 seater,,,,,,,
20 - 35 Lakh,Mahindra BE 6,Rs.18.90 - 27.79 Lakh*,5 seater,79 kWh,683 km,,,,,,,
